year,size,male,age,edu,edu1,edu2,edu3,edu4,mar,tenure,metro,oc1,oc2,oc3,oc4,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,non_regular,weektime,hourlywage,hourly_wage_r
2003,8,0,25,12,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,50,1,1
2006,8,1,30,16,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,45,2,2
2002,8,1,38,16,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,1,1
2005,8,1,34,12,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2006,8,1,47,12,0,1,0,0,1,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,42,2,2
2005,8,1,41,16,0,0,0,1,1,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2003,8,0,20,12,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,45,1,1
2006,8,1,39,12,0,1,0,0,1,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,44,2,2
2005,8,1,32,12,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,45,1,2
2005,8,0,59,9,1,0,0,0,1,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,100,0,1
2002,8,0,23,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,1
2002,8,1,45,18,0,0,0,1,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,48,1,1
2003,8,1,49,16,0,0,0,1,1,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,45,3,4
2006,8,1,52,16,0,0,0,1,1,25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2002,8,1,41,18,0,0,0,1,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,1,2
2006,8,1,46,16,0,0,0,1,1,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,48,2,2
2003,8,1,48,12,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,65,2,3
2005,8,1,47,16,0,0,0,1,1,20,1,0,1,0,0,0,0,0,0,0,0,0,1,0,45,3,3
2002,8,1,30,12,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,44,1,1
2006,8,1,35,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50,2,2
2004,8,1,51,12,0,1,0,0,1,25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,44,1,1
2006,8,1,43,16,0,0,0,1,1,16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,40,3,4
2006,8,1,39,16,0,0,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2003,8,1,53,12,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,0,0
2006,8,0,50,9,1,0,0,0,1,14,1,0,0,1,0,0,0,0,0,0,1,0,0,1,54,0,0
2003,8,0,28,11,0,1,0,0,1,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,48,1,1
2002,8,0,36,12,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40,1,1
2003,8,0,23,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,54,0,0
2002,8,1,43,16,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,50,1,1
2002,8,1,37,16,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,1,1
2003,8,0,41,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,70,0,0
2003,8,1,49,16,0,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,50,1,2
2006,8,1,34,12,0,1,0,0,1,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,57,1,1
2003,8,1,40,12,0,1,0,0,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,44,1,1
2005,8,1,41,16,0,0,0,1,1,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,72,1,1
2006,8,1,48,9,1,0,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,1,0,1,48,1,1
2004,8,0,42,16,0,0,0,1,1,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,48,1,1
2006,8,0,47,9,1,0,0,0,0,20,0,0,0,0,1,0,1,0,0,0,0,0,0,1,48,0,1
2006,8,1,26,16,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,32,2,2
2003,8,1,26,11,1,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,44,1,1
2005,8,1,60,12,0,1,0,0,1,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,1
2002,8,0,32,16,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,54,1,1
2003,8,1,45,14,0,0,0,1,1,18,1,0,1,0,0,0,1,0,0,0,0,0,0,0,44,2,2
2002,8,1,30,12,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2003,8,1,44,16,0,0,0,1,1,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2003,8,1,29,12,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,0,1
2005,8,1,49,14,0,0,1,0,1,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,40,1,2
2003,8,1,31,16,0,0,0,1,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,48,1,1
2003,8,1,34,16,0,0,0,1,1,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,52,2,2
2005,8,1,40,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40,2,3
2006,8,1,59,9,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,40,4,4
2002,8,1,32,16,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,84,1,1
2004,8,0,30,16,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,40,1,1
2002,8,0,27,14,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,0
2004,8,1,37,16,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50,2,2
2002,8,1,36,16,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,1,2
2003,8,1,28,14,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,60,0,0
2004,8,1,30,12,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,45,1,1
2002,8,0,36,12,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,48,0,0
2003,8,1,40,12,0,1,0,0,1,20,1,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,2
2006,8,1,52,9,1,0,0,0,1,24,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,3,4
2006,8,1,29,12,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,40,3,3
2003,8,0,35,12,0,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60,0,0
2002,8,1,50,12,0,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,1,2
2002,8,1,29,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,1
2003,8,1,39,12,0,1,0,0,1,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,80,0,0
2002,8,1,40,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,1,1
2006,8,1,44,12,0,0,1,0,1,18,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,3
2006,8,0,39,12,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,48,1,1
2004,8,0,47,9,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,48,0,0
2004,8,0,29,16,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,72,0,0
2003,8,0,30,14,0,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,44,1,1
2006,8,1,31,16,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,60,2,2
2006,8,1,35,16,0,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,2,2
2006,8,1,29,14,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2006,8,0,37,16,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2004,8,1,31,14,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2006,8,0,38,9,1,0,0,0,1,18,1,0,1,0,0,0,0,0,0,0,0,0,1,0,50,1,1
2005,8,0,39,12,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,52,1,1
2005,8,1,37,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,50,2,2
2003,8,1,49,12,0,1,0,0,1,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,63,1,1
2004,8,0,40,12,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,48,0,0
2003,8,0,51,9,1,0,0,0,1,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,70,0,0
2005,8,1,50,9,1,0,0,0,1,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,96,1,1
2006,8,1,34,16,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,45,2,2
2002,8,0,30,12,0,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,48,1,1
2002,8,1,27,12,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,40,1,1
2006,8,1,53,12,0,1,0,0,1,29,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2006,8,1,34,12,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,54,1,1
2005,8,1,31,16,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,45,1,1
2005,8,1,31,14,0,0,1,0,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,70,1,1
2006,8,1,43,14,0,0,1,0,0,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,48,1,1
2005,8,1,59,18,0,0,0,1,1,30,1,1,0,0,0,0,1,0,0,0,0,0,0,0,40,4,4
2003,8,1,41,21,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,2
2006,8,1,28,14,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,1
2002,8,1,32,16,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60,1,1
2003,8,1,37,16,0,0,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,48,1,1
2005,8,0,30,16,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,1,1
2003,8,1,34,12,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,1
2005,8,1,39,12,0,1,0,0,1,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,2
2006,8,0,55,9,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,54,0,0
2002,8,1,57,16,0,0,0,1,1,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,44,3,4
2003,8,1,47,16,0,0,0,1,1,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50,2,3
2003,8,1,41,16,0,0,0,1,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,50,1,1
2004,8,1,36,16,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,1,1
2004,8,1,56,21,0,0,0,1,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,48,3,4
2003,8,0,27,12,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,1
2006,8,1,39,12,0,1,0,0,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,40,1,1
2006,8,1,51,12,0,1,0,0,1,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,2,2
2006,8,1,55,12,0,1,0,0,0,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2006,8,0,41,12,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42,1,1
2006,8,1,33,12,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2006,8,0,34,16,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2003,8,1,56,6,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,84,0,0
2006,8,0,22,14,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,45,1,1
2004,8,1,57,12,0,1,0,0,1,35,1,1,0,0,0,0,0,0,0,0,0,0,1,0,44,3,3
2006,8,1,44,16,0,0,0,1,1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,70,2,2
2003,8,1,31,14,0,0,1,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,2
2002,8,1,44,16,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,1,1
2002,8,1,33,9,1,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1,1
2006,8,0,41,12,0,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,0,0,1,48,1,1
2002,8,1,49,16,0,0,0,1,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,1,2
2006,8,1,27,16,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60,1,1
2003,8,1,37,16,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,45,2,2
2006,8,1,31,16,0,0,0,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2005,8,1,34,18,0,0,0,1,1,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,60,1,1
